"Table","Entity","Property","Column","Decorator","Type","Nullable","File"
"air_asset_drone_stock","AirAssetDroneStock","airAssetPositionId","air_asset_position_id","Column","uuid","","backend\src\drone-logistics\air-asset-drone-stock.entity.ts"
"air_asset_drone_stock","AirAssetDroneStock","createdAt","created_at","CreateDateColumn","","","backend\src\drone-logistics\air-asset-drone-stock.entity.ts"
"air_asset_drone_stock","AirAssetDroneStock","droneModelId","drone_model_id","Column","uuid","","backend\src\drone-logistics\air-asset-drone-stock.entity.ts"
"air_asset_drone_stock","AirAssetDroneStock","id","id","PrimaryGeneratedColumn","uuid","","backend\src\drone-logistics\air-asset-drone-stock.entity.ts"
"air_asset_drone_stock","AirAssetDroneStock","quantity","quantity","Column","int","","backend\src\drone-logistics\air-asset-drone-stock.entity.ts"
"air_asset_drone_stock","AirAssetDroneStock","updatedAt","updated_at","UpdateDateColumn","","","backend\src\drone-logistics\air-asset-drone-stock.entity.ts"
"air_asset_positions","AirAssetPosition","assetGroup","asset_group","Column","varchar","","backend\src\air-assets\air-asset-position.entity.ts"
"air_asset_positions","AirAssetPosition","assetName","asset_name","Column","varchar","true","backend\src\air-assets\air-asset-position.entity.ts"
"air_asset_positions","AirAssetPosition","assetQuantity","asset_quantity","Column","int","","backend\src\air-assets\air-asset-position.entity.ts"
"air_asset_positions","AirAssetPosition","callsign","callsign","Column","varchar","","backend\src\air-assets\air-asset-position.entity.ts"
"air_asset_positions","AirAssetPosition","combatType","combat_type","Column","varchar","true","backend\src\air-assets\air-asset-position.entity.ts"
"air_asset_positions","AirAssetPosition","createdAt","created_at","CreateDateColumn","","","backend\src\air-assets\air-asset-position.entity.ts"
"air_asset_positions","AirAssetPosition","droneModel","drone_model","Column","varchar","true","backend\src\air-assets\air-asset-position.entity.ts"
"air_asset_positions","AirAssetPosition","id","id","PrimaryGeneratedColumn","uuid","","backend\src\air-assets\air-asset-position.entity.ts"
"air_asset_positions","AirAssetPosition","lat","lat","Column","double precision","","backend\src\air-assets\air-asset-position.entity.ts"
"air_asset_positions","AirAssetPosition","lng","lng","Column","double precision","","backend\src\air-assets\air-asset-position.entity.ts"
"air_asset_positions","AirAssetPosition","mainDirectionDegrees","main_direction_degrees","Column","numeric","true","backend\src\air-assets\air-asset-position.entity.ts"
"air_asset_positions","AirAssetPosition","mainDirectionUnits","main_direction_units","Column","numeric","true","backend\src\air-assets\air-asset-position.entity.ts"
"air_asset_positions","AirAssetPosition","maxSectorDistanceM","max_sector_distance_m","Column","int","true","backend\src\air-assets\air-asset-position.entity.ts"
"air_asset_positions","AirAssetPosition","mgrs","mgrs","Column","varchar","true","backend\src\air-assets\air-asset-position.entity.ts"
"air_asset_positions","AirAssetPosition","name","name","Column","varchar","","backend\src\air-assets\air-asset-position.entity.ts"
"air_asset_positions","AirAssetPosition","notReadyReason","not_ready_reason","Column","text","true","backend\src\air-assets\air-asset-position.entity.ts"
"air_asset_positions","AirAssetPosition","note","note","Column","text","true","backend\src\air-assets\air-asset-position.entity.ts"
"air_asset_positions","AirAssetPosition","personnelRotationDate","personnel_rotation_date","Column","date","true","backend\src\air-assets\air-asset-position.entity.ts"
"air_asset_positions","AirAssetPosition","readinessStatus","readiness_status","Column","varchar","","backend\src\air-assets\air-asset-position.entity.ts"
"air_asset_positions","AirAssetPosition","reconType","recon_type","Column","varchar","true","backend\src\air-assets\air-asset-position.entity.ts"
"air_asset_positions","AirAssetPosition","sectorLeftDegrees","sector_left_degrees","Column","integer","true","backend\src\air-assets\air-asset-position.entity.ts"
"air_asset_positions","AirAssetPosition","sectorRightDegrees","sector_right_degrees","Column","integer","true","backend\src\air-assets\air-asset-position.entity.ts"
"air_asset_positions","AirAssetPosition","traverseLeftDegrees","traverse_left_degrees","Column","numeric","true","backend\src\air-assets\air-asset-position.entity.ts"
"air_asset_positions","AirAssetPosition","traverseLeftUnits","traverse_left_units","Column","numeric","true","backend\src\air-assets\air-asset-position.entity.ts"
"air_asset_positions","AirAssetPosition","traverseRightDegrees","traverse_right_degrees","Column","numeric","true","backend\src\air-assets\air-asset-position.entity.ts"
"air_asset_positions","AirAssetPosition","traverseRightUnits","traverse_right_units","Column","numeric","true","backend\src\air-assets\air-asset-position.entity.ts"
"air_asset_positions","AirAssetPosition","unitId","unit_id","Column","uuid","","backend\src\air-assets\air-asset-position.entity.ts"
"air_asset_positions","AirAssetPosition","updatedAt","updated_at","UpdateDateColumn","","","backend\src\air-assets\air-asset-position.entity.ts"
"air_asset_task_points","AirAssetTaskPoint","id","id","PrimaryGeneratedColumn","uuid","","backend\src\air-assets\air-asset-task-point.entity.ts"
"air_asset_task_points","AirAssetTaskPoint","lat","lat","Column","double precision","","backend\src\air-assets\air-asset-task-point.entity.ts"
"air_asset_task_points","AirAssetTaskPoint","lng","lng","Column","double precision","","backend\src\air-assets\air-asset-task-point.entity.ts"
"air_asset_task_points","AirAssetTaskPoint","pointOrder","point_order","Column","int","","backend\src\air-assets\air-asset-task-point.entity.ts"
"air_asset_task_points","AirAssetTaskPoint","taskId","task_id","Column","uuid","","backend\src\air-assets\air-asset-task-point.entity.ts"
"air_asset_tasks","AirAssetTask","airAssetPositionId","air_asset_position_id","Column","uuid","","backend\src\air-assets\air-asset-task.entity.ts"
"air_asset_tasks","AirAssetTask","areaName","area_name","Column","varchar","","backend\src\air-assets\air-asset-task.entity.ts"
"air_asset_tasks","AirAssetTask","createdAt","created_at","CreateDateColumn","","","backend\src\air-assets\air-asset-task.entity.ts"
"air_asset_tasks","AirAssetTask","droneModelId","drone_model_id","Column","uuid","true","backend\src\air-assets\air-asset-task.entity.ts"
"air_asset_tasks","AirAssetTask","id","id","PrimaryGeneratedColumn","uuid","","backend\src\air-assets\air-asset-task.entity.ts"
