table_name,column_name,data_type,is_nullable,udt_name
air_asset_calculations,id,uuid,NO,uuid
air_asset_calculations,name,character varying,NO,varchar
air_asset_calculations,unit_id,uuid,YES,uuid
air_asset_calculations,platform_type,character varying,NO,varchar
air_asset_calculations,callsign,character varying,YES,varchar
air_asset_calculations,readiness_status,character varying,NO,varchar
air_asset_calculations,lat,double precision,YES,float8
air_asset_calculations,lng,double precision,YES,float8
air_asset_calculations,mgrs,character varying,YES,varchar
air_asset_calculations,endurance_minutes,integer,YES,int4
air_asset_calculations,payload,character varying,YES,varchar
air_asset_calculations,note,text,YES,text
air_asset_calculations,created_at,timestamp without time zone,NO,timestamp
air_asset_calculations,updated_at,timestamp without time zone,NO,timestamp
air_asset_drone_stock,id,uuid,NO,uuid
air_asset_drone_stock,air_asset_position_id,uuid,NO,uuid
air_asset_drone_stock,drone_model_id,uuid,NO,uuid
air_asset_drone_stock,quantity,integer,NO,int4
air_asset_drone_stock,created_at,timestamp without time zone,YES,timestamp
air_asset_drone_stock,updated_at,timestamp without time zone,YES,timestamp
air_asset_positions,id,uuid,NO,uuid
air_asset_positions,name,character varying,NO,varchar
air_asset_positions,unit_id,uuid,NO,uuid
air_asset_positions,callsign,character varying,NO,varchar
air_asset_positions,asset_group,character varying,NO,varchar
air_asset_positions,recon_type,character varying,YES,varchar
air_asset_positions,combat_type,character varying,YES,varchar
air_asset_positions,lat,double precision,NO,float8
air_asset_positions,lng,double precision,NO,float8
air_asset_positions,mgrs,character varying,YES,varchar
air_asset_positions,readiness_status,character varying,NO,varchar
air_asset_positions,not_ready_reason,text,YES,text
air_asset_positions,personnel_rotation_date,date,YES,date
air_asset_positions,asset_name,character varying,YES,varchar
air_asset_positions,drone_model,character varying,YES,varchar
air_asset_positions,asset_quantity,integer,NO,int4
air_asset_positions,main_direction_units,numeric,YES,numeric
air_asset_positions,main_direction_degrees,numeric,YES,numeric
air_asset_positions,traverse_left_units,numeric,YES,numeric
air_asset_positions,traverse_left_degrees,numeric,YES,numeric
air_asset_positions,traverse_right_units,numeric,YES,numeric
air_asset_positions,traverse_right_degrees,numeric,YES,numeric
air_asset_positions,sector_left_degrees,integer,YES,int4
air_asset_positions,sector_right_degrees,integer,YES,int4
air_asset_positions,max_sector_distance_m,integer,YES,int4
air_asset_positions,note,text,YES,text
air_asset_positions,created_at,timestamp without time zone,NO,timestamp
air_asset_positions,updated_at,timestamp without time zone,NO,timestamp
air_asset_task_points,id,uuid,NO,uuid
air_asset_task_points,task_id,uuid,NO,uuid
air_asset_task_points,point_order,integer,NO,int4
air_asset_task_points,lat,double precision,NO,float8
air_asset_task_points,lng,double precision,NO,float8
air_asset_tasks,id,uuid,NO,uuid
air_asset_tasks,task_type,character varying,NO,varchar
air_asset_tasks,name,character varying,NO,varchar
air_asset_tasks,unit_id,uuid,NO,uuid
air_asset_tasks,air_asset_position_id,uuid,NO,uuid
air_asset_tasks,drone_model_id,uuid,YES,uuid
air_asset_tasks,warhead_type_id,uuid,YES,uuid
air_asset_tasks,area_name,character varying,NO,varchar
air_asset_tasks,planned_start_at,timestamp without time zone,YES,timestamp
air_asset_tasks,planned_end_at,timestamp without time zone,YES,timestamp
air_asset_tasks,status,character varying,NO,varchar
air_asset_tasks,note,text,YES,text
air_asset_tasks,created_at,timestamp without time zone,NO,timestamp
air_asset_tasks,updated_at,timestamp without time zone,NO,timestamp
air_asset_warhead_stock,id,uuid,NO,uuid
air_asset_warhead_stock,air_asset_position_id,uuid,NO,uuid
air_asset_warhead_stock,warhead_type_id,uuid,NO,uuid
air_asset_warhead_stock,quantity,numeric,NO,numeric
air_asset_warhead_stock,created_at,timestamp without time zone,YES,timestamp
air_asset_warhead_stock,updated_at,timestamp without time zone,YES,timestamp
air_recon_area_points,id,uuid,NO,uuid
air_recon_area_points,area_id,uuid,NO,uuid
air_recon_area_points,point_order,integer,NO,int4
air_recon_area_points,lat,double precision,NO,float8
air_recon_area_points,lng,double precision,NO,float8
air_recon_area_points,created_at,timestamp without time zone,NO,timestamp
air_recon_areas,id,uuid,NO,uuid
air_recon_areas,air_asset_position_id,uuid,NO,uuid
air_recon_areas,name,character varying,YES,varchar
air_recon_areas,active_date,date,NO,date
air_recon_areas,note,text,YES,text
air_recon_areas,created_at,timestamp without time zone,NO,timestamp
air_recon_areas,updated_at,timestamp without time zone,NO,timestamp
air_recon_areas,planned_start_at,timestamp without time zone,YES,timestamp
air_recon_areas,planned_end_at,timestamp without time zone,YES,timestamp
air_recon_areas,status,character varying,NO,varchar
air_threats,id,uuid,NO,uuid
air_threats,threat_type,character varying,NO,varchar
