table_name,constraint_name,constraint_type,column_name,referenced_table,referenced_column
air_asset_calculations,2200_66727_13_not_null,CHECK,,,
air_asset_calculations,2200_66727_14_not_null,CHECK,,,
air_asset_calculations,2200_66727_1_not_null,CHECK,,,
air_asset_calculations,2200_66727_2_not_null,CHECK,,,
air_asset_calculations,2200_66727_4_not_null,CHECK,,,
air_asset_calculations,2200_66727_6_not_null,CHECK,,,
air_asset_calculations,air_asset_calculations_unit_id_fkey,FOREIGN KEY,unit_id,units,id
air_asset_calculations,air_asset_calculations_pkey,PRIMARY KEY,id,air_asset_calculations,id
air_asset_drone_stock,2200_66974_1_not_null,CHECK,,,
air_asset_drone_stock,2200_66974_2_not_null,CHECK,,,
air_asset_drone_stock,2200_66974_3_not_null,CHECK,,,
air_asset_drone_stock,2200_66974_4_not_null,CHECK,,,
air_asset_drone_stock,air_asset_drone_stock_air_asset_position_id_fkey,FOREIGN KEY,air_asset_position_id,air_asset_positions,id
air_asset_drone_stock,air_asset_drone_stock_drone_model_id_fkey,FOREIGN KEY,drone_model_id,drone_models,id
air_asset_drone_stock,air_asset_drone_stock_pkey,PRIMARY KEY,id,air_asset_drone_stock,id
air_asset_drone_stock,uq_air_asset_drone_stock,UNIQUE,drone_model_id,air_asset_drone_stock,drone_model_id
air_asset_drone_stock,uq_air_asset_drone_stock,UNIQUE,drone_model_id,air_asset_drone_stock,air_asset_position_id
air_asset_drone_stock,uq_air_asset_drone_stock,UNIQUE,air_asset_position_id,air_asset_drone_stock,drone_model_id
air_asset_drone_stock,uq_air_asset_drone_stock,UNIQUE,air_asset_position_id,air_asset_drone_stock,air_asset_position_id
air_asset_positions,2200_66779_11_not_null,CHECK,,,
air_asset_positions,2200_66779_16_not_null,CHECK,,,
air_asset_positions,2200_66779_1_not_null,CHECK,,,
air_asset_positions,2200_66779_27_not_null,CHECK,,,
air_asset_positions,2200_66779_28_not_null,CHECK,,,
air_asset_positions,2200_66779_2_not_null,CHECK,,,
air_asset_positions,2200_66779_3_not_null,CHECK,,,
air_asset_positions,2200_66779_4_not_null,CHECK,,,
air_asset_positions,2200_66779_5_not_null,CHECK,,,
air_asset_positions,2200_66779_8_not_null,CHECK,,,
air_asset_positions,2200_66779_9_not_null,CHECK,,,
air_asset_positions,chk_air_asset_combat_type,CHECK,,air_asset_positions,combat_type
air_asset_positions,chk_air_asset_group,CHECK,,air_asset_positions,asset_group
air_asset_positions,chk_air_asset_recon_type,CHECK,,air_asset_positions,recon_type
air_asset_positions,air_asset_positions_unit_id_fkey,FOREIGN KEY,unit_id,units,id
air_asset_positions,air_asset_positions_pkey,PRIMARY KEY,id,air_asset_positions,id
air_asset_task_points,2200_67141_1_not_null,CHECK,,,
air_asset_task_points,2200_67141_2_not_null,CHECK,,,
air_asset_task_points,2200_67141_3_not_null,CHECK,,,
air_asset_task_points,2200_67141_4_not_null,CHECK,,,
air_asset_task_points,2200_67141_5_not_null,CHECK,,,
air_asset_task_points,air_asset_task_points_task_id_fkey,FOREIGN KEY,task_id,air_asset_tasks,id
air_asset_task_points,air_asset_task_points_pkey,PRIMARY KEY,id,air_asset_task_points,id
air_asset_tasks,2200_67110_11_not_null,CHECK,,,
air_asset_tasks,2200_67110_13_not_null,CHECK,,,
air_asset_tasks,2200_67110_14_not_null,CHECK,,,
air_asset_tasks,2200_67110_1_not_null,CHECK,,,
air_asset_tasks,2200_67110_2_not_null,CHECK,,,
air_asset_tasks,2200_67110_3_not_null,CHECK,,,
air_asset_tasks,2200_67110_4_not_null,CHECK,,,
air_asset_tasks,2200_67110_5_not_null,CHECK,,,
air_asset_tasks,2200_67110_8_not_null,CHECK,,,
air_asset_tasks,air_asset_tasks_air_asset_position_id_fkey,FOREIGN KEY,air_asset_position_id,air_asset_positions,id
air_asset_tasks,air_asset_tasks_drone_model_id_fkey,FOREIGN KEY,drone_model_id,drone_models,id
air_asset_tasks,air_asset_tasks_unit_id_fkey,FOREIGN KEY,unit_id,units,id
air_asset_tasks,air_asset_tasks_warhead_type_id_fkey,FOREIGN KEY,warhead_type_id,drone_warhead_types,id
air_asset_tasks,air_asset_tasks_pkey,PRIMARY KEY,id,air_asset_tasks,id
air_asset_warhead_stock,2200_66995_1_not_null,CHECK,,,
air_asset_warhead_stock,2200_66995_2_not_null,CHECK,,,
air_asset_warhead_stock,2200_66995_3_not_null,CHECK,,,
air_asset_warhead_stock,2200_66995_4_not_null,CHECK,,,
air_asset_warhead_stock,air_asset_warhead_stock_air_asset_position_id_fkey,FOREIGN KEY,air_asset_position_id,air_asset_positions,id
air_asset_warhead_stock,air_asset_warhead_stock_warhead_type_id_fkey,FOREIGN KEY,warhead_type_id,drone_warhead_types,id
air_asset_warhead_stock,air_asset_warhead_stock_pkey,PRIMARY KEY,id,air_asset_warhead_stock,id
air_asset_warhead_stock,uq_air_asset_warhead_stock,UNIQUE,warhead_type_id,air_asset_warhead_stock,warhead_type_id
air_asset_warhead_stock,uq_air_asset_warhead_stock,UNIQUE,air_asset_position_id,air_asset_warhead_stock,air_asset_position_id
air_asset_warhead_stock,uq_air_asset_warhead_stock,UNIQUE,air_asset_position_id,air_asset_warhead_stock,warhead_type_id
air_asset_warhead_stock,uq_air_asset_warhead_stock,UNIQUE,warhead_type_id,air_asset_warhead_stock,air_asset_position_id
air_recon_area_points,2200_66820_1_not_null,CHECK,,,
air_recon_area_points,2200_66820_2_not_null,CHECK,,,
air_recon_area_points,2200_66820_3_not_null,CHECK,,,
air_recon_area_points,2200_66820_4_not_null,CHECK,,,
air_recon_area_points,2200_66820_5_not_null,CHECK,,,
air_recon_area_points,2200_66820_6_not_null,CHECK,,,
air_recon_area_points,air_recon_area_points_area_id_fkey,FOREIGN KEY,area_id,air_recon_areas,id
air_recon_area_points,air_recon_area_points_pkey,PRIMARY KEY,id,air_recon_area_points,id
air_recon_area_points,air_recon_area_points_area_id_point_order_key,UNIQUE,point_order,air_recon_area_points,area_id
air_recon_area_points,air_recon_area_points_area_id_point_order_key,UNIQUE,point_order,air_recon_area_points,point_order
air_recon_area_points,air_recon_area_points_area_id_point_order_key,UNIQUE,area_id,air_recon_area_points,point_order
air_recon_area_points,air_recon_area_points_area_id_point_order_key,UNIQUE,area_id,air_recon_area_points,area_id
air_recon_areas,2200_66802_10_not_null,CHECK,,,
air_recon_areas,2200_66802_1_not_null,CHECK,,,
air_recon_areas,2200_66802_2_not_null,CHECK,,,
air_recon_areas,2200_66802_4_not_null,CHECK,,,
air_recon_areas,2200_66802_6_not_null,CHECK,,,
air_recon_areas,2200_66802_7_not_null,CHECK,,,
air_recon_areas,air_recon_areas_air_asset_position_id_fkey,FOREIGN KEY,air_asset_position_id,air_asset_positions,id
air_recon_areas,air_recon_areas_pkey,PRIMARY KEY,id,air_recon_areas,id
air_threats,2200_25784_1_not_null,CHECK,,,
air_threats,2200_25784_2_not_null,CHECK,,,
air_threats,2200_25784_3_not_null,CHECK,,,
air_threats,2200_25784_4_not_null,CHECK,,,
air_threats,air_threats_pkey,PRIMARY KEY,id,air_threats,id
app_settings,2200_25776_1_not_null,CHECK,,,
app_settings,2200_25776_2_not_null,CHECK,,,
app_settings,app_settings_pkey,PRIMARY KEY,key,app_settings,key
charge_configurations,2200_58539_1_not_null,CHECK,,,
charge_configurations,2200_58539_2_not_null,CHECK,,,
charge_configurations,2200_58539_4_not_null,CHECK,,,
charge_configurations,2200_58539_5_not_null,CHECK,,,
charge_configurations,charge_configurations_charge_id_fkey,FOREIGN KEY,charge_id,charges,id
charge_configurations,charge_configurations_zone_id_fkey,FOREIGN KEY,zone_id,zones,id
charge_configurations,charge_configurations_pkey,PRIMARY KEY,id,charge_configurations,id
charge_configurations,charge_configurations_charge_id_zone_id_label_key,UNIQUE,zone_id,charge_configurations,charge_id
charge_configurations,charge_configurations_charge_id_zone_id_label_key,UNIQUE,label,charge_configurations,label
charge_configurations,charge_configurations_charge_id_zone_id_label_key,UNIQUE,label,charge_configurations,zone_id
charge_configurations,charge_configurations_charge_id_zone_id_label_key,UNIQUE,charge_id,charge_configurations,charge_id
charge_configurations,charge_configurations_charge_id_zone_id_label_key,UNIQUE,charge_id,charge_configurations,label
charge_configurations,charge_configurations_charge_id_zone_id_label_key,UNIQUE,charge_id,charge_configurations,zone_id
charge_configurations,charge_configurations_charge_id_zone_id_label_key,UNIQUE,zone_id,charge_configurations,label
charge_configurations,charge_configurations_charge_id_zone_id_label_key,UNIQUE,zone_id,charge_configurations,zone_id
charge_configurations,charge_configurations_charge_id_zone_id_label_key,UNIQUE,label,charge_configurations,charge_id
charges,2200_17625_1_not_null,CHECK,,,
charges,2200_17625_2_not_null,CHECK,,,
charges,2200_17625_3_not_null,CHECK,,,
charges,2200_17625_7_not_null,CHECK,,,
charges,charges_charge_kind_check,CHECK,,charges,charge_kind
charges,charges_modular_modules_check,CHECK,,charges,charge_kind
charges,charges_modular_modules_check,CHECK,,charges,max_usable_modules
charges,charges_modular_modules_check,CHECK,,charges,modules_per_charge
charges,charges_pkey,PRIMARY KEY,id,charges,id
charges,charges_marking_key,UNIQUE,marking,charges,marking
depot_charge_stock,2200_17796_1_not_null,CHECK,,,
depot_charge_stock,2200_17796_2_not_null,CHECK,,,
depot_charge_stock,2200_17796_3_not_null,CHECK,,,
depot_charge_stock,2200_17796_4_not_null,CHECK,,,
depot_charge_stock,depot_charge_stock_charge_id_fkey,FOREIGN KEY,charge_id,charges,id
depot_charge_stock,depot_charge_stock_depot_id_fkey,FOREIGN KEY,depot_id,depots,id
depot_charge_stock,depot_charge_stock_pkey,PRIMARY KEY,id,depot_charge_stock,id
depot_charge_stock,depot_charge_stock_depot_id_charge_id_key,UNIQUE,charge_id,depot_charge_stock,depot_id
depot_charge_stock,depot_charge_stock_depot_id_charge_id_key,UNIQUE,charge_id,depot_charge_stock,charge_id
depot_charge_stock,depot_charge_stock_depot_id_charge_id_key,UNIQUE,depot_id,depot_charge_stock,depot_id
depot_charge_stock,depot_charge_stock_depot_id_charge_id_key,UNIQUE,depot_id,depot_charge_stock,charge_id
depot_drone_stock,2200_66857_1_not_null,CHECK,,,
depot_drone_stock,2200_66857_2_not_null,CHECK,,,
depot_drone_stock,2200_66857_3_not_null,CHECK,,,
depot_drone_stock,2200_66857_4_not_null,CHECK,,,
depot_drone_stock,2200_66857_5_not_null,CHECK,,,
depot_drone_stock,2200_66857_6_not_null,CHECK,,,
depot_drone_stock,depot_drone_stock_depot_id_fkey,FOREIGN KEY,depot_id,depots,id
depot_drone_stock,depot_drone_stock_drone_model_id_fkey,FOREIGN KEY,drone_model_id,drone_models,id
depot_drone_stock,depot_drone_stock_pkey,PRIMARY KEY,id,depot_drone_stock,id
depot_drone_stock,depot_drone_stock_depot_id_drone_model_id_key,UNIQUE,depot_id,depot_drone_stock,depot_id
depot_drone_stock,depot_drone_stock_depot_id_drone_model_id_key,UNIQUE,drone_model_id,depot_drone_stock,drone_model_id
depot_drone_stock,depot_drone_stock_depot_id_drone_model_id_key,UNIQUE,drone_model_id,depot_drone_stock,depot_id
depot_drone_stock,depot_drone_stock_depot_id_drone_model_id_key,UNIQUE,depot_id,depot_drone_stock,drone_model_id
depot_drone_warhead_stock,2200_66876_1_not_null,CHECK,,,
depot_drone_warhead_stock,2200_66876_2_not_null,CHECK,,,
depot_drone_warhead_stock,2200_66876_3_not_null,CHECK,,,
depot_drone_warhead_stock,2200_66876_4_not_null,CHECK,,,
depot_drone_warhead_stock,2200_66876_5_not_null,CHECK,,,
depot_drone_warhead_stock,2200_66876_6_not_null,CHECK,,,
depot_drone_warhead_stock,depot_drone_warhead_stock_depot_id_fkey,FOREIGN KEY,depot_id,depots,id
depot_drone_warhead_stock,depot_drone_warhead_stock_warhead_type_id_fkey,FOREIGN KEY,warhead_type_id,drone_warhead_types,id
depot_drone_warhead_stock,depot_drone_warhead_stock_pkey,PRIMARY KEY,id,depot_drone_warhead_stock,id
depot_drone_warhead_stock,depot_drone_warhead_stock_depot_id_warhead_type_id_key,UNIQUE,depot_id,depot_drone_warhead_stock,warhead_type_id
depot_drone_warhead_stock,depot_drone_warhead_stock_depot_id_warhead_type_id_key,UNIQUE,warhead_type_id,depot_drone_warhead_stock,warhead_type_id
depot_drone_warhead_stock,depot_drone_warhead_stock_depot_id_warhead_type_id_key,UNIQUE,depot_id,depot_drone_warhead_stock,depot_id
depot_drone_warhead_stock,depot_drone_warhead_stock_depot_id_warhead_type_id_key,UNIQUE,warhead_type_id,depot_drone_warhead_stock,depot_id
depot_fuze_stock,2200_17815_1_not_null,CHECK,,,
depot_fuze_stock,2200_17815_2_not_null,CHECK,,,
depot_fuze_stock,2200_17815_3_not_null,CHECK,,,
depot_fuze_stock,2200_17815_4_not_null,CHECK,,,
depot_fuze_stock,depot_fuze_stock_depot_id_fkey,FOREIGN KEY,depot_id,depots,id
depot_fuze_stock,depot_fuze_stock_fuze_id_fkey,FOREIGN KEY,fuze_id,fuzes,id
depot_fuze_stock,depot_fuze_stock_pkey,PRIMARY KEY,id,depot_fuze_stock,id
depot_fuze_stock,depot_fuze_stock_depot_id_fuze_id_key,UNIQUE,depot_id,depot_fuze_stock,depot_id
depot_fuze_stock,depot_fuze_stock_depot_id_fuze_id_key,UNIQUE,fuze_id,depot_fuze_stock,fuze_id
depot_fuze_stock,depot_fuze_stock_depot_id_fuze_id_key,UNIQUE,fuze_id,depot_fuze_stock,depot_id
depot_fuze_stock,depot_fuze_stock_depot_id_fuze_id_key,UNIQUE,depot_id,depot_fuze_stock,fuze_id
depot_primer_stock,2200_17834_1_not_null,CHECK,,,
depot_primer_stock,2200_17834_2_not_null,CHECK,,,
depot_primer_stock,2200_17834_3_not_null,CHECK,,,
depot_primer_stock,2200_17834_4_not_null,CHECK,,,
depot_primer_stock,depot_primer_stock_depot_id_fkey,FOREIGN KEY,depot_id,depots,id
depot_primer_stock,depot_primer_stock_primer_id_fkey,FOREIGN KEY,primer_id,primers,id
depot_primer_stock,depot_primer_stock_pkey,PRIMARY KEY,id,depot_primer_stock,id
depot_primer_stock,depot_primer_stock_depot_id_primer_id_key,UNIQUE,depot_id,depot_primer_stock,depot_id
depot_primer_stock,depot_primer_stock_depot_id_primer_id_key,UNIQUE,primer_id,depot_primer_stock,primer_id
depot_primer_stock,depot_primer_stock_depot_id_primer_id_key,UNIQUE,primer_id,depot_primer_stock,depot_id
depot_primer_stock,depot_primer_stock_depot_id_primer_id_key,UNIQUE,depot_id,depot_primer_stock,primer_id
depot_shell_stock,2200_17777_1_not_null,CHECK,,,
