"Table","Column","Source"
"air_asset_calculations","callsign","CREATE TABLE"
"air_asset_calculations","created_at","CREATE TABLE"
"air_asset_calculations","endurance_minutes","CREATE TABLE"
"air_asset_calculations","id","CREATE TABLE"
"air_asset_calculations","lat","CREATE TABLE"
"air_asset_calculations","lng","CREATE TABLE"
"air_asset_calculations","mgrs","CREATE TABLE"
"air_asset_calculations","name","CREATE TABLE"
"air_asset_calculations","note","CREATE TABLE"
"air_asset_calculations","payload","CREATE TABLE"
"air_asset_calculations","platform_type","CREATE TABLE"
"air_asset_calculations","readiness_status","CREATE TABLE"
"air_asset_calculations","unit_id","CREATE TABLE"
"air_asset_calculations","updated_at","CREATE TABLE"
"air_asset_drone_stock","air_asset_position_id","CREATE TABLE"
"air_asset_drone_stock","created_at","ALTER TABLE"
"air_asset_drone_stock","drone_model_id","CREATE TABLE"
"air_asset_drone_stock","id","CREATE TABLE"
"air_asset_drone_stock","quantity","CREATE TABLE"
"air_asset_drone_stock","updated_at","ALTER TABLE"
"air_asset_positions","id","CREATE TABLE"
"air_asset_task_points","id","CREATE TABLE"
"air_asset_task_points","lat","CREATE TABLE"
"air_asset_task_points","lng","CREATE TABLE"
"air_asset_task_points","point_order","CREATE TABLE"
"air_asset_task_points","task_id","CREATE TABLE"
"air_asset_tasks","air_asset_position_id","CREATE TABLE"
"air_asset_tasks","area_name","CREATE TABLE"
"air_asset_tasks","created_at","CREATE TABLE"
"air_asset_tasks","drone_model_id","CREATE TABLE"
"air_asset_tasks","id","CREATE TABLE"
"air_asset_tasks","name","CREATE TABLE"
"air_asset_tasks","note","CREATE TABLE"
"air_asset_tasks","planned_end_at","CREATE TABLE"
"air_asset_tasks","planned_start_at","CREATE TABLE"
"air_asset_tasks","status","CREATE TABLE"
"air_asset_tasks","task_type","CREATE TABLE"
"air_asset_tasks","unit_id","CREATE TABLE"
"air_asset_tasks","updated_at","CREATE TABLE"
"air_asset_tasks","warhead_type_id","CREATE TABLE"
"air_asset_warhead_stock","air_asset_position_id","CREATE TABLE"
"air_asset_warhead_stock","created_at","ALTER TABLE"
"air_asset_warhead_stock","id","CREATE TABLE"
"air_asset_warhead_stock","quantity","CREATE TABLE"
"air_asset_warhead_stock","updated_at","CREATE TABLE"
"air_asset_warhead_stock","warhead_type_id","CREATE TABLE"
"air_recon_area_points","area_id","CREATE TABLE"
"air_recon_area_points","created_at","CREATE TABLE"
"air_recon_area_points","id","CREATE TABLE"
"air_recon_area_points","lat","CREATE TABLE"
"air_recon_area_points","lng","CREATE TABLE"
"air_recon_area_points","point_order","CREATE TABLE"
"air_recon_areas","active_date","CREATE TABLE"
"air_recon_areas","air_asset_position_id","CREATE TABLE"
"air_recon_areas","created_at","CREATE TABLE"
"air_recon_areas","id","CREATE TABLE"
"air_recon_areas","name","CREATE TABLE"
"air_recon_areas","note","CREATE TABLE"
"air_recon_areas","planned_end_at","ALTER TABLE"
"air_recon_areas","planned_start_at","ALTER TABLE"
"air_recon_areas","status","ALTER TABLE"
"air_recon_areas","updated_at","CREATE TABLE"
"charge_configurations","charge_id","CREATE TABLE"
"charge_configurations","charge_units_per_shot","CREATE TABLE"
"charge_configurations","created_at","CREATE TABLE"
"charge_configurations","id","CREATE TABLE"
"charge_configurations","is_default","CREATE TABLE"
"charge_configurations","label","CREATE TABLE"
"charge_configurations","note","CREATE TABLE"
"charge_configurations","updated_at","CREATE TABLE"
"charge_configurations","zone_id","CREATE TABLE"
"charges","charge_kind","ALTER TABLE"
"charges","created_at","CREATE TABLE"
"charges","id","CREATE TABLE"
"charges","marking","CREATE TABLE"
"charges","max_usable_modules","ALTER TABLE"
"charges","measurement_unit","CREATE TABLE"
"charges","module_note","ALTER TABLE"
"charges","modules_per_charge","ALTER TABLE"
"charges","packaging_type","CREATE TABLE"
"charges","updated_at","CREATE TABLE"
"depot_charge_stock","charge_id","CREATE TABLE"
"depot_charge_stock","depot_id","CREATE TABLE"
"depot_charge_stock","id","CREATE TABLE"
"depot_charge_stock","quantity","CREATE TABLE"
"depot_drone_stock","created_at","ALTER TABLE"
"depot_drone_stock","depot_id","CREATE TABLE"
"depot_drone_stock","drone_model_id","CREATE TABLE"
"depot_drone_stock","id","CREATE TABLE"
"depot_drone_stock","quantity","CREATE TABLE"
"depot_drone_stock","updated_at","ALTER TABLE"
"depot_drone_warhead_stock","created_at","ALTER TABLE"
"depot_drone_warhead_stock","depot_id","CREATE TABLE"
"depot_drone_warhead_stock","id","CREATE TABLE"
"depot_drone_warhead_stock","quantity","CREATE TABLE"
"depot_drone_warhead_stock","updated_at","CREATE TABLE"
"depot_drone_warhead_stock","warhead_type_id","CREATE TABLE"
"depot_fuze_stock","depot_id","CREATE TABLE"
"depot_fuze_stock","fuze_id","CREATE TABLE"
"depot_fuze_stock","id","CREATE TABLE"
"depot_fuze_stock","quantity","CREATE TABLE"
"depot_primer_stock","depot_id","CREATE TABLE"
"depot_primer_stock","id","CREATE TABLE"
"depot_primer_stock","primer_id","CREATE TABLE"
"depot_primer_stock","quantity","CREATE TABLE"
"depot_shell_stock","depot_id","CREATE TABLE"
"depot_shell_stock","id","CREATE TABLE"
"depot_shell_stock","quantity","CREATE TABLE"
"depot_shell_stock","shell_id","CREATE TABLE"
"depots","created_at","CREATE TABLE"
"depots","depot_type","CREATE TABLE"
"depots","id","CREATE TABLE"
"depots","lat","CREATE TABLE"
"depots","lng","CREATE TABLE"
"depots","mgrs","CREATE TABLE"
"depots","name","CREATE TABLE"
"depots","parent_id","CREATE TABLE"
"depots","unit_id","CREATE TABLE"
"depots","updated_at","CREATE TABLE"
"drone_models","camera_type","ALTER TABLE"
"drone_models","created_at","ALTER TABLE"
"drone_models","cruise_speed_kmh","ALTER TABLE"
"drone_models","drone_group","ALTER TABLE"
"drone_models","drone_type","ALTER TABLE"
"drone_models","endurance_minutes","ALTER TABLE"
"drone_models","id","CREATE TABLE"
"drone_models","max_altitude_m","ALTER TABLE"
"drone_models","max_range_m","ALTER TABLE"
"drone_models","max_wind_ms","ALTER TABLE"
"drone_models","name","CREATE TABLE"
"drone_models","note","ALTER TABLE"
"drone_models","payload_capacity_kg","ALTER TABLE"
"drone_models","updated_at","ALTER TABLE"
"drone_stock_movements","air_asset_from_id","ALTER TABLE"
"drone_stock_movements","air_asset_to_id","CREATE TABLE"
"drone_stock_movements","comment","ALTER TABLE"
"drone_stock_movements","created_at","CREATE TABLE"
"drone_stock_movements","created_by_id","ALTER TABLE"
"drone_stock_movements","depot_from_id","ALTER TABLE"
"drone_stock_movements","depot_to_id","CREATE TABLE"
"drone_stock_movements","drone_model_id","CREATE TABLE"
"drone_stock_movements","id","CREATE TABLE"
"drone_stock_movements","item_type","CREATE TABLE"
"drone_stock_movements","movement_type","CREATE TABLE"
"drone_stock_movements","quantity","ALTER TABLE"
"drone_stock_movements","warhead_type_id","CREATE TABLE"
"drone_warhead_types","created_at","CREATE TABLE"
"drone_warhead_types","id","CREATE TABLE"
"drone_warhead_types","measure_unit","ALTER TABLE"
"drone_warhead_types","name","CREATE TABLE"
"drone_warhead_types","note","ALTER TABLE"
